Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1623845560,2021-06-16T12:12:40Z,AUA7EM,"48.118366,16.569237",0,0,205
1623847943,2021-06-16T12:52:23Z,AUA7EM,"48.118279,16.569002",0,0,241
1623848054,2021-06-16T12:54:14Z,AUA7EM,"48.118309,16.569202",0,0,150
1623849479,2021-06-16T13:17:59Z,AUA7EM,"48.11837,16.569408",0,0,89
1623849684,2021-06-16T13:21:24Z,AUA7EM,"48.11816,16.569267",0,0,180
1623850030,2021-06-16T13:27:10Z,AUA7EM,"48.118366,16.569237",0,0,29
1623851015,2021-06-16T13:43:35Z,AUA7EM,"48.118229,16.568996",0,0,245
1623851023,2021-06-16T13:43:43Z,AUA7EM,"48.118401,16.569305",0,0,50
1623851046,2021-06-16T13:44:06Z,AUA7EM,"48.118183,16.568911",0,1,231
1623851048,2021-06-16T13:44:08Z,AUA7EM,"48.118393,16.569267",0,0,50
1623851067,2021-06-16T13:44:27Z,AUA7EM,"48.118286,16.569048",0,0,259
1623851156,2021-06-16T13:45:56Z,AUA7EM,"48.118389,16.569288",0,0,67
1623851232,2021-06-16T13:47:12Z,AUA7EM,"48.118195,16.568928",0,1,232
1623851236,2021-06-16T13:47:16Z,AUA7EM,"48.11837,16.569248",0,0,51
1623851389,2021-06-16T13:49:49Z,AUA7EM,"48.118217,16.568962",0,0,271
1623851425,2021-06-16T13:50:25Z,AUA7EM,"48.118412,16.569305",0,0,45
1623852508,2021-06-16T14:08:28Z,AUA7EM,"48.118187,16.569302",0,0,182
1623852750,2021-06-16T14:12:30Z,AUA7EM,"48.118389,16.569288",0,0,48
1623852898,2021-06-16T14:14:58Z,AUA7EM,"48.118176,16.569302",0,0,143
1623852933,2021-06-16T14:15:33Z,AUA7EM,"48.118347,16.569302",0,0,152
1623854185,2021-06-16T14:36:25Z,AUA7EM,"48.118332,16.569099",0,0,242
1623854460,2021-06-16T14:41:00Z,AUA7EM,"48.118309,16.569374",0,0,125
1623854684,2021-06-16T14:44:44Z,AUA7EM,"48.118336,16.56916",0,0,271
1623854795,2021-06-16T14:46:35Z,AUA7EM,"48.118378,16.569374",0,0,89
1623854980,2021-06-16T14:49:40Z,AUA7EM,"48.118443,16.568932",0,1,287
1623854982,2021-06-16T14:49:42Z,AUA7EM,"48.118389,16.569254",0,0,103
1623855312,2021-06-16T14:55:12Z,AUA7EM,"48.118443,16.568914",0,0,308
1623855357,2021-06-16T14:55:57Z,AUA7EM,"48.118313,16.569284",0,0,129
1623855483,2021-06-16T14:58:03Z,AUA7EM,"48.118412,16.569082",0,0,297
1623855532,2021-06-16T14:58:52Z,AUA7EM,"48.118389,16.569288",0,0,48
