Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1623939728,2021-06-17T14:22:08Z,AUA7EM,"48.118187,16.565111",0,0,25
1623940387,2021-06-17T14:33:07Z,AUA7EM,"48.118618,16.565134",0,1,25
1623940389,2021-06-17T14:33:09Z,AUA7EM,"48.118176,16.565094",0,0,143
1623940405,2021-06-17T14:33:25Z,AUA7EM,"48.118481,16.565117",0,0,4
1623940407,2021-06-17T14:33:27Z,AUA7EM,"48.118198,16.565094",0,0,183
1623940427,2021-06-17T14:33:47Z,AUA7EM,"48.118408,16.565128",0,0,15
1623940464,2021-06-17T14:34:24Z,AUA7EM,"48.118206,16.565117",0,0,180
1623940600,2021-06-17T14:36:40Z,AUA7EM,"48.118408,16.565147",0,0,36
1623940618,2021-06-17T14:36:58Z,AUA7EM,"48.118198,16.565147",0,0,185
1623940643,2021-06-17T14:37:23Z,AUA7EM,"48.118412,16.565203",0,0,7
1623940717,2021-06-17T14:38:37Z,AUA7EM,"48.118183,16.565134",0,0,186
1623940760,2021-06-17T14:39:20Z,AUA7EM,"48.118458,16.565151",0,0,5
1623940766,2021-06-17T14:39:26Z,AUA7EM,"48.118252,16.565117",0,0,188
1623940802,2021-06-17T14:40:02Z,AUA7EM,"48.118492,16.565151",0,0,12
1623940806,2021-06-17T14:40:06Z,AUA7EM,"48.118263,16.5651",0,0,187
1623940844,2021-06-17T14:40:44Z,AUA7EM,"48.118469,16.565151",0,0,10
1623940864,2021-06-17T14:41:04Z,AUA7EM,"48.118252,16.5651",0,0,189
1623940934,2021-06-17T14:42:14Z,AUA7EM,"48.118465,16.565147",0,0,13
1623940939,2021-06-17T14:42:19Z,AUA7EM,"48.118176,16.565077",0,0,190
1623940960,2021-06-17T14:42:40Z,AUA7EM,"48.118408,16.565128",0,0,9
1623941029,2021-06-17T14:43:49Z,AUA7EM,"48.118206,16.565083",0,0,246
1623941038,2021-06-17T14:43:58Z,AUA7EM,"48.118435,16.565151",0,0,11
1623941065,2021-06-17T14:44:25Z,AUA7EM,"48.118195,16.5651",0,0,190
1623941086,2021-06-17T14:44:46Z,AUA7EM,"48.118423,16.565186",0,0,14
1623941278,2021-06-17T14:47:58Z,AUA7EM,"48.118217,16.565134",0,0,213
1623944132,2021-06-17T15:35:32Z,AUA7EM,"48.118011,16.56498",0,3,28
1623944147,2021-06-17T15:35:47Z,AUA7EM,"48.117794,16.564808",0,3,25
1623944167,2021-06-17T15:36:07Z,AUA7EM,"48.117558,16.564636",0,3,201
1623944185,2021-06-17T15:36:25Z,AUA7EM,"48.117348,16.564583",0,2,306
1623944335,2021-06-17T15:38:55Z,AUA7EM,"48.117371,16.564327",0,3,295
1623944361,2021-06-17T15:39:21Z,AUA7EM,"48.117542,16.563194",0,10,250
1623944366,2021-06-17T15:39:26Z,AUA7EM,"48.117371,16.562988",0,10,216
1623944371,2021-06-17T15:39:31Z,AUA7EM,"48.117138,16.56284",0,10,205
1623944376,2021-06-17T15:39:36Z,AUA7EM,"48.116924,16.562679",0,10,205
1623944381,2021-06-17T15:39:41Z,AUA7EM,"48.116707,16.562542",0,10,202
1623944386,2021-06-17T15:39:46Z,AUA7EM,"48.116501,16.562525",0,10,180
1623944393,2021-06-17T15:39:53Z,AUA7EM,"48.116272,16.562765",0,9,137
1623944398,2021-06-17T15:39:58Z,AUA7EM,"48.116173,16.563034",0,9,120
1623944402,2021-06-17T15:40:02Z,AUA7EM,"48.116089,16.56328",0,9,115
1623944406,2021-06-17T15:40:06Z,AUA7EM,"48.11602,16.563486",0,9,115
1623944410,2021-06-17T15:40:10Z,AUA7EM,"48.11594,16.563738",0,9,115
1623944414,2021-06-17T15:40:14Z,AUA7EM,"48.115856,16.564003",0,10,115
1623944420,2021-06-17T15:40:20Z,AUA7EM,"48.115742,16.564337",0,11,115
1623944427,2021-06-17T15:40:27Z,AUA7EM,"48.115578,16.564831",0,12,118
1623944433,2021-06-17T15:40:33Z,AUA7EM,"48.115437,16.565306",0,12,115
1623944438,2021-06-17T15:40:38Z,AUA7EM,"48.115311,16.565701",0,13,115
1623944445,2021-06-17T15:40:45Z,AUA7EM,"48.115128,16.566233",0,13,115
1623944451,2021-06-17T15:40:51Z,AUA7EM,"48.11496,16.566767",0,14,115
1623944457,2021-06-17T15:40:57Z,AUA7EM,"48.114777,16.567329",0,15,118
1623944464,2021-06-17T15:41:04Z,AUA7EM,"48.114532,16.568035",0,16,115
1623944470,2021-06-17T15:41:10Z,AUA7EM,"48.114349,16.568619",0,17,115
1623944477,2021-06-17T15:41:17Z,AUA7EM,"48.114075,16.569443",0,18,118
1623944484,2021-06-17T15:41:24Z,AUA7EM,"48.113789,16.57037",0,20,115
1623944489,2021-06-17T15:41:29Z,AUA7EM,"48.11356,16.571039",0,22,115
1623944495,2021-06-17T15:41:35Z,AUA7EM,"48.113297,16.571863",0,22,115
1623944502,2021-06-17T15:41:42Z,AUA7EM,"48.113041,16.572681",0,16,109
1623944506,2021-06-17T15:41:46Z,AUA7EM,"48.113056,16.573133",0,15,78
1623944508,2021-06-17T15:41:48Z,AUA7EM,"48.113171,16.573368",0,15,53
1623944522,2021-06-17T15:42:02Z,AUA7EM,"48.114006,16.573967",0,15,25
1623944526,2021-06-17T15:42:06Z,AUA7EM,"48.11425,16.574125",0,16,25
1623944534,2021-06-17T15:42:14Z,AUA7EM,"48.114841,16.574541",0,17,22
1623944543,2021-06-17T15:42:23Z,AUA7EM,"48.115654,16.574472",0,19,343
1623944546,2021-06-17T15:42:26Z,AUA7EM,"48.115868,16.574373",0,19,345
1623944550,2021-06-17T15:42:30Z,AUA7EM,"48.116203,16.574232",0,19,343
1623944555,2021-06-17T15:42:35Z,AUA7EM,"48.116695,16.574038",0,20,345
1623944557,2021-06-17T15:42:37Z,AUA7EM,"48.116905,16.57395",0,20,345
1623944564,2021-06-17T15:42:44Z,AUA7EM,"48.117489,16.573704",0,21,345
1623944569,2021-06-17T15:42:49Z,AUA7EM,"48.118069,16.573477",0,22,345
1623944577,2021-06-17T15:42:57Z,AUA7EM,"48.11887,16.573133",0,23,343
1623944584,2021-06-17T15:43:04Z,AUA7EM,"48.119408,16.572893",0,15,345
1623944588,2021-06-17T15:43:08Z,AUA7EM,"48.119652,16.572893",0,11,5
1623944597,2021-06-17T15:43:17Z,AUA7EM,"48.119911,16.573357",0,9,64
1623944602,2021-06-17T15:43:22Z,AUA7EM,"48.119976,16.573704",0,9,73
