Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1624116646,2021-06-19T15:30:46Z,AUA7EM,"48.114124,16.571907",0,0,217
1624116831,2021-06-19T15:33:51Z,AUA7EM,"48.11375,16.571644",0,7,202
1624116838,2021-06-19T15:33:58Z,AUA7EM,"48.113491,16.571657",0,9,165
1624116844,2021-06-19T15:34:04Z,AUA7EM,"48.113308,16.571873",0,10,129
1624116848,2021-06-19T15:34:08Z,AUA7EM,"48.113205,16.572172",0,11,115
1624116852,2021-06-19T15:34:12Z,AUA7EM,"48.113121,16.572401",0,11,115
1624116855,2021-06-19T15:34:15Z,AUA7EM,"48.113056,16.57267",0,11,106
1624116860,2021-06-19T15:34:20Z,AUA7EM,"48.113064,16.573017",0,11,81
1624116863,2021-06-19T15:34:23Z,AUA7EM,"48.113136,16.573236",0,11,56
1624116868,2021-06-19T15:34:28Z,AUA7EM,"48.113331,16.573458",0,10,30
1624116877,2021-06-19T15:34:37Z,AUA7EM,"48.113728,16.573738",0,11,25
1624116886,2021-06-19T15:34:46Z,AUA7EM,"48.114166,16.57406",0,13,25
1624116892,2021-06-19T15:34:52Z,AUA7EM,"48.11451,16.574301",0,14,25
1624116897,2021-06-19T15:34:57Z,AUA7EM,"48.114845,16.574532",0,15,19
1624116902,2021-06-19T15:35:02Z,AUA7EM,"48.115219,16.574602",0,15,3
1624116905,2021-06-19T15:35:05Z,AUA7EM,"48.115475,16.574549",0,16,348
1624116920,2021-06-19T15:35:20Z,AUA7EM,"48.116592,16.574091",0,17,345
1624116926,2021-06-19T15:35:26Z,AUA7EM,"48.117058,16.573896",0,17,343
1624116930,2021-06-19T15:35:30Z,AUA7EM,"48.117371,16.573769",0,16,343
1624116933,2021-06-19T15:35:33Z,AUA7EM,"48.117577,16.573683",0,15,343
1624116940,2021-06-19T15:35:40Z,AUA7EM,"48.118011,16.573494",0,15,345
1624116953,2021-06-19T15:35:53Z,AUA7EM,"48.119019,16.573065",0,15,345
1624116961,2021-06-19T15:36:01Z,AUA7EM,"48.119488,16.57291",0,12,354
1624116989,2021-06-19T15:36:29Z,AUA7EM,"48.120117,16.574883",0,11,95
1624117095,2021-06-19T15:38:15Z,AUA7EM,"48.117336,16.579227",0,52,163
1624117124,2021-06-19T15:38:44Z,AUA7EM,"48.103134,16.585236",575,156,164
1624117136,2021-06-19T15:38:56Z,AUA7EM,"48.094513,16.588793",925,155,164
1624117142,2021-06-19T15:39:02Z,AUA7EM,"48.090279,16.590624",1100,159,163
1624117149,2021-06-19T15:39:09Z,AUA7EM,"48.085419,16.592857",1350,158,162
1624117157,2021-06-19T15:39:17Z,AUA7EM,"48.079662,16.595552",1600,160,162
1624117164,2021-06-19T15:39:24Z,AUA7EM,"48.074661,16.597801",1875,161,163
1624117171,2021-06-19T15:39:31Z,AUA7EM,"48.069283,16.60006",2100,165,164
1624117178,2021-06-19T15:39:38Z,AUA7EM,"48.064766,16.602102",2225,170,164
1624117179,2021-06-19T15:39:39Z,AUA7EM,"48.063721,16.602745",2250,175,157
1624117180,2021-06-19T15:39:40Z,AUA7EM,"48.062672,16.603441",2275,177,154
1624117182,2021-06-19T15:39:42Z,AUA7EM,"48.061508,16.604357",2300,179,151
1624117185,2021-06-19T15:39:45Z,AUA7EM,"48.059273,16.606609",2350,181,145
1624117186,2021-06-19T15:39:46Z,AUA7EM,"48.05867,16.607243",2375,182,145
1624117191,2021-06-19T15:39:51Z,AUA7EM,"48.055363,16.61161",2475,189,136
1624117194,2021-06-19T15:39:54Z,AUA7EM,"48.053558,16.614555",2550,193,131
1624117200,2021-06-19T15:40:00Z,AUA7EM,"48.050262,16.621147",2675,200,123
1624117201,2021-06-19T15:40:01Z,AUA7EM,"48.049778,16.622314",2700,202,121
1624117203,2021-06-19T15:40:03Z,AUA7EM,"48.04903,16.624428",2750,203,119
1624117212,2021-06-19T15:40:12Z,AUA7EM,"48.046051,16.63694",3000,209,102
1624117218,2021-06-19T15:40:18Z,AUA7EM,"48.04541,16.645523",3250,209,92
1624117221,2021-06-19T15:40:21Z,AUA7EM,"48.045448,16.649851",3375,209,87
1624117222,2021-06-19T15:40:22Z,AUA7EM,"48.045502,16.651291",3400,209,87
1624117224,2021-06-19T15:40:24Z,AUA7EM,"48.045681,16.653934",3500,210,83
1624117232,2021-06-19T15:40:32Z,AUA7EM,"48.047588,16.665697",3850,211,69
1624117233,2021-06-19T15:40:33Z,AUA7EM,"48.047867,16.666752",3875,212,69
1624117238,2021-06-19T15:40:38Z,AUA7EM,"48.050125,16.673332",4075,215,59
1624117239,2021-06-19T15:40:39Z,AUA7EM,"48.050663,16.67457",4125,216,56
1624117242,2021-06-19T15:40:42Z,AUA7EM,"48.05246,16.678207",4225,217,52
1624117244,2021-06-19T15:40:44Z,AUA7EM,"48.053741,16.680542",4325,217,50
1624117253,2021-06-19T15:40:53Z,AUA7EM,"48.060299,16.689219",4675,222,37
1624117257,2021-06-19T15:40:57Z,AUA7EM,"48.063976,16.693233",4850,224,36
1624117259,2021-06-19T15:40:59Z,AUA7EM,"48.065651,16.695065",4925,224,36
1624117265,2021-06-19T15:41:05Z,AUA7EM,"48.070267,16.700043",5175,224,35
1624117269,2021-06-19T15:41:09Z,AUA7EM,"48.074078,16.704149",5400,224,36
1624117272,2021-06-19T15:41:12Z,AUA7EM,"48.076584,16.706909",5550,224,36
1624117274,2021-06-19T15:41:14Z,AUA7EM,"48.078278,16.708763",5625,226,36
1624117287,2021-06-19T15:41:27Z,AUA7EM,"48.089298,16.720909",6200,228,36
1624117304,2021-06-19T15:41:44Z,AUA7EM,"48.104477,16.733164",6900,230,17
1624117318,2021-06-19T15:41:58Z,AUA7EM,"48.119232,16.734079",7525,229,354
1624117319,2021-06-19T15:41:59Z,AUA7EM,"48.120396,16.733727",7575,228,351
1624117327,2021-06-19T15:42:07Z,AUA7EM,"48.128357,16.729713",7925,227,335
1624117328,2021-06-19T15:42:08Z,AUA7EM,"48.129894,16.728516",8000,228,331
1624117332,2021-06-19T15:42:12Z,AUA7EM,"48.133255,16.72538",8150,228,325
1624117334,2021-06-19T15:42:14Z,AUA7EM,"48.134628,16.723869",8200,229,322
1624117339,2021-06-19T15:42:19Z,AUA7EM,"48.138519,16.718788",8375,230,317
1624117349,2021-06-19T15:42:29Z,AUA7EM,"48.146511,16.707247",8625,239,315
1624117355,2021-06-19T15:42:35Z,AUA7EM,"48.151245,16.700249",8700,239,315
1624117367,2021-06-19T15:42:47Z,AUA7EM,"48.162506,16.683937",8800,274,315
1624117379,2021-06-19T15:42:59Z,AUA7EM,"48.172989,16.668795",9025,285,316
1624117391,2021-06-19T15:43:11Z,AUA7EM,"48.18557,16.650648",9500,292,315
1624117407,2021-06-19T15:43:27Z,AUA7EM,"48.20018,16.629498",10150,293,315
1624117429,2021-06-19T15:43:49Z,AUA7EM,"48.222015,16.598019",10975,301,315
1624117442,2021-06-19T15:44:02Z,AUA7EM,"48.235519,16.578442",11475,303,315
1624117453,2021-06-19T15:44:13Z,AUA7EM,"48.246834,16.562107",11950,303,315
1624117467,2021-06-19T15:44:27Z,AUA7EM,"48.260376,16.542452",12450,304,315
1624117499,2021-06-19T15:44:59Z,AUA7EM,"48.293472,16.494423",13500,316,315
1624117532,2021-06-19T15:45:32Z,AUA7EM,"48.328625,16.443354",14675,321,315
1624117568,2021-06-19T15:46:08Z,AUA7EM,"48.367218,16.387165",15875,328,315
1624117601,2021-06-19T15:46:41Z,AUA7EM,"48.404572,16.332584",17000,335,315
1624117635,2021-06-19T15:47:15Z,AUA7EM,"48.442657,16.276878",18075,342,315
1624117702,2021-06-19T15:48:22Z,AUA7EM,"48.519653,16.163847",20100,356,315
1624117764,2021-06-19T15:49:24Z,AUA7EM,"48.593506,16.054928",21975,367,315
1624117827,2021-06-19T15:50:27Z,AUA7EM,"48.671017,15.94015",23850,371,315
1624117888,2021-06-19T15:51:28Z,AUA7EM,"48.746525,15.827829",25325,381,315
1624117954,2021-06-19T15:52:34Z,AUA7EM,"48.829666,15.703583",27000,385,315
1624118001,2021-06-19T15:53:21Z,AUA7EM,"48.891628,15.618655",28025,387,326
1624118002,2021-06-19T15:53:22Z,AUA7EM,"48.893692,15.616643",28075,386,327
1624118006,2021-06-19T15:53:26Z,AUA7EM,"48.899494,15.611283",28150,387,328
1624118007,2021-06-19T15:53:27Z,AUA7EM,"48.900421,15.610445",28175,387,329
1624118014,2021-06-19T15:53:34Z,AUA7EM,"48.912109,15.600947",28325,387,333
1624118015,2021-06-19T15:53:35Z,AUA7EM,"48.913696,15.599741",28350,387,333
1624118017,2021-06-19T15:53:37Z,AUA7EM,"48.916069,15.597984",28375,387,333
1624118021,2021-06-19T15:53:41Z,AUA7EM,"48.923447,15.59291",28475,387,335
1624118023,2021-06-19T15:53:43Z,AUA7EM,"48.925888,15.591262",28500,387,335
1624118026,2021-06-19T15:53:46Z,AUA7EM,"48.931961,15.587134",28575,388,336
1624118027,2021-06-19T15:53:47Z,AUA7EM,"48.933289,15.586289",28600,388,336
1624118028,2021-06-19T15:53:48Z,AUA7EM,"48.934269,15.585625",28600,388,336
1624118029,2021-06-19T15:53:49Z,AUA7EM,"48.936584,15.584036",28625,388,336
1624118092,2021-06-19T15:54:52Z,AUA7EM,"49.040642,15.514864",29900,391,336
1624118153,2021-06-19T15:55:53Z,AUA7EM,"49.141102,15.447862",30850,395,336
1624118215,2021-06-19T15:56:55Z,AUA7EM,"49.246681,15.377173",31650,402,336
1624118274,2021-06-19T15:57:54Z,AUA7EM,"49.348114,15.308885",32325,409,336
1624118337,2021-06-19T15:58:57Z,AUA7EM,"49.457703,15.234845",33000,415,336
