Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1624198265,2021-06-20T14:11:05Z,AUA7EM,"48.118744,16.568193",0,0,205
1624199069,2021-06-20T14:24:29Z,AUA7EM,"48.118744,16.567965",0,0,326
1624199199,2021-06-20T14:26:39Z,AUA7EM,"48.11871,16.568193",0,0,89
1624199211,2021-06-20T14:26:51Z,AUA7EM,"48.118687,16.568422",0,0,89
1624199331,2021-06-20T14:28:51Z,AUA7EM,"48.118698,16.568104",0,0,205
1624199406,2021-06-20T14:30:06Z,AUA7EM,"48.118687,16.56843",0,0,180
1624199451,2021-06-20T14:30:51Z,AUA7EM,"48.118641,16.568121",0,0,142
1624199865,2021-06-20T14:37:45Z,AUA7EM,"48.118778,16.567829",0,0,287
1624199868,2021-06-20T14:37:48Z,AUA7EM,"48.11871,16.568174",0,0,89
1624202990,2021-06-20T15:29:50Z,AUA7EM,"48.118641,16.567965",0,0,232
1624203035,2021-06-20T15:30:35Z,AUA7EM,"48.118721,16.568174",0,0,60
1624203181,2021-06-20T15:33:01Z,AUA7EM,"48.118847,16.568464",0,0,60
1624203268,2021-06-20T15:34:28Z,AUA7EM,"48.118919,16.568264",0,5,210
1624203277,2021-06-20T15:34:37Z,AUA7EM,"48.119099,16.568464",0,4,199
1624203312,2021-06-20T15:35:12Z,AUA7EM,"48.119511,16.568481",0,1,115
1624203322,2021-06-20T15:35:22Z,AUA7EM,"48.118999,16.568352",0,0,115
1624203533,2021-06-20T15:38:53Z,AUA7EM,"48.119408,16.56881",0,3,115
1624203649,2021-06-20T15:40:49Z,AUA7EM,"48.119232,16.572947",0,8,345
1624203660,2021-06-20T15:41:00Z,AUA7EM,"48.119614,16.572824",0,7,351
1624203879,2021-06-20T15:44:39Z,AUA7EM,"48.117744,16.579056",0,49,163
1624203884,2021-06-20T15:44:44Z,AUA7EM,"48.11631,16.579638",0,70,163
1624203910,2021-06-20T15:45:10Z,AUA7EM,"48.101822,16.585764",725,162,164
1624203919,2021-06-20T15:45:19Z,AUA7EM,"48.095078,16.588463",1025,161,165
1624203940,2021-06-20T15:45:40Z,AUA7EM,"48.080154,16.594368",1875,158,164
1624203948,2021-06-20T15:45:48Z,AUA7EM,"48.07473,16.59675",2100,164,163
1624203964,2021-06-20T15:46:04Z,AUA7EM,"48.063126,16.602951",2350,180,153
1624203967,2021-06-20T15:46:07Z,AUA7EM,"48.06102,16.604805",2400,182,150
1624203970,2021-06-20T15:46:10Z,AUA7EM,"48.058903,16.607033",2450,187,144
1624203973,2021-06-20T15:46:13Z,AUA7EM,"48.056759,16.609568",2500,191,139
1624203994,2021-06-20T15:46:34Z,AUA7EM,"48.046371,16.634262",2850,214,109
1624203998,2021-06-20T15:46:38Z,AUA7EM,"48.045448,16.640202",2975,216,104
1624204000,2021-06-20T15:46:40Z,AUA7EM,"48.04517,16.64323",3025,218,97
1624204009,2021-06-20T15:46:49Z,AUA7EM,"48.045586,16.657457",3350,224,82
1624204012,2021-06-20T15:46:52Z,AUA7EM,"48.046417,16.661934",3500,223,76
1624204014,2021-06-20T15:46:54Z,AUA7EM,"48.047333,16.665573",3625,224,70
1624204020,2021-06-20T15:47:00Z,AUA7EM,"48.050125,16.673538",3900,225,61
1624204024,2021-06-20T15:47:04Z,AUA7EM,"48.052185,16.677864",4025,226,55
1624204027,2021-06-20T15:47:07Z,AUA7EM,"48.054245,16.681471",4150,227,49
1624204030,2021-06-20T15:47:10Z,AUA7EM,"48.056435,16.684711",4250,229,44
1624204033,2021-06-20T15:47:13Z,AUA7EM,"48.058903,16.68795",4375,230,41
1624204036,2021-06-20T15:47:16Z,AUA7EM,"48.061295,16.691116",4475,231,41
1624204039,2021-06-20T15:47:19Z,AUA7EM,"48.063995,16.694618",4600,233,40
1624204042,2021-06-20T15:47:22Z,AUA7EM,"48.066284,16.697433",4650,236,39
1624204048,2021-06-20T15:47:28Z,AUA7EM,"48.071701,16.703655",4825,245,36
1624204054,2021-06-20T15:47:34Z,AUA7EM,"48.077755,16.710135",4950,253,35
1624204055,2021-06-20T15:47:35Z,AUA7EM,"48.078129,16.710558",4975,252,35
1624204056,2021-06-20T15:47:36Z,AUA7EM,"48.07999,16.71246",5000,256,35
1624204069,2021-06-20T15:47:49Z,AUA7EM,"48.093025,16.725981",5275,274,34
1624204087,2021-06-20T15:48:07Z,AUA7EM,"48.111282,16.745773",5925,282,36
1624204101,2021-06-20T15:48:21Z,AUA7EM,"48.126938,16.76033",6600,283,25
1624204105,2021-06-20T15:48:25Z,AUA7EM,"48.131847,16.763023",6800,283,18
1624204110,2021-06-20T15:48:30Z,AUA7EM,"48.13916,16.76548",7075,284,10
1624204114,2021-06-20T15:48:34Z,AUA7EM,"48.143738,16.766029",7250,284,5
1624204117,2021-06-20T15:48:37Z,AUA7EM,"48.147308,16.765961",7375,284,5
1624204119,2021-06-20T15:48:39Z,AUA7EM,"48.150982,16.765419",7500,284,354
1624204126,2021-06-20T15:48:46Z,AUA7EM,"48.159485,16.762115",7800,285,341
1624204132,2021-06-20T15:48:52Z,AUA7EM,"48.166809,16.756685",8100,286,330
1624204133,2021-06-20T15:48:53Z,AUA7EM,"48.167953,16.755629",8125,285,341
1624204135,2021-06-20T15:48:55Z,AUA7EM,"48.169369,16.75415",8200,286,325
1624204138,2021-06-20T15:48:58Z,AUA7EM,"48.172581,16.75032",8325,287,320
1624204141,2021-06-20T15:49:01Z,AUA7EM,"48.176147,16.745277",8500,287,316
1624204144,2021-06-20T15:49:04Z,AUA7EM,"48.178894,16.741192",8650,288,315
1624204147,2021-06-20T15:49:07Z,AUA7EM,"48.181137,16.737741",8750,289,314
1624204148,2021-06-20T15:49:08Z,AUA7EM,"48.181961,16.736473",8800,289,314
1624204150,2021-06-20T15:49:10Z,AUA7EM,"48.183941,16.733479",8900,289,314
1624204153,2021-06-20T15:49:13Z,AUA7EM,"48.18718,16.728374",9050,289,313
1624204165,2021-06-20T15:49:25Z,AUA7EM,"48.198044,16.711506",9525,292,313
1624204185,2021-06-20T15:49:45Z,AUA7EM,"48.21698,16.682106",10275,298,313
1624204198,2021-06-20T15:49:58Z,AUA7EM,"48.229889,16.661964",10600,309,313
1624204210,2021-06-20T15:50:10Z,AUA7EM,"48.242386,16.642527",10775,325,313
1624204222,2021-06-20T15:50:22Z,AUA7EM,"48.254932,16.62311",10950,338,313
1624204234,2021-06-20T15:50:34Z,AUA7EM,"48.268341,16.602076",11275,346,313
1624204246,2021-06-20T15:50:46Z,AUA7EM,"48.282074,16.580763",11825,347,313
1624204258,2021-06-20T15:50:58Z,AUA7EM,"48.295303,16.560059",12475,343,313
1624204291,2021-06-20T15:51:31Z,AUA7EM,"48.331047,16.503994",13750,348,313
1624204324,2021-06-20T15:52:04Z,AUA7EM,"48.368382,16.445377",14875,355,313
1624204357,2021-06-20T15:52:37Z,AUA7EM,"48.406273,16.385748",16075,359,313
1624204390,2021-06-20T15:53:10Z,AUA7EM,"48.443935,16.326334",17200,363,313
1624204421,2021-06-20T15:53:41Z,AUA7EM,"48.48085,16.267933",18050,373,313
1624204486,2021-06-20T15:54:46Z,AUA7EM,"48.558453,16.14506",20150,379,313
1624204546,2021-06-20T15:55:46Z,AUA7EM,"48.632378,16.02739",21625,394,313
1624204609,2021-06-20T15:56:49Z,AUA7EM,"48.712784,15.898767",23125,408,313
1624204673,2021-06-20T15:57:53Z,AUA7EM,"48.795776,15.76531",24700,418,313
1624204737,2021-06-20T15:58:57Z,AUA7EM,"48.883015,15.631015",26300,422,321
1624204742,2021-06-20T15:59:02Z,AUA7EM,"48.891312,15.621643",26400,423,324
1624204743,2021-06-20T15:59:03Z,AUA7EM,"48.892139,15.620824",26400,423,324
1624204745,2021-06-20T15:59:05Z,AUA7EM,"48.896347,15.616431",26450,423,325
1624204748,2021-06-20T15:59:08Z,AUA7EM,"48.900742,15.612065",26525,423,326
1624204751,2021-06-20T15:59:11Z,AUA7EM,"48.90596,15.607276",26600,424,328
1624204752,2021-06-20T15:59:12Z,AUA7EM,"48.907455,15.605934",26600,423,327
1624204755,2021-06-20T15:59:15Z,AUA7EM,"48.912064,15.602032",26675,424,330
1624204757,2021-06-20T15:59:17Z,AUA7EM,"48.915695,15.599068",26725,424,331
1624204758,2021-06-20T15:59:18Z,AUA7EM,"48.917416,15.597694",26725,424,332
1624204761,2021-06-20T15:59:21Z,AUA7EM,"48.92308,15.593543",26800,424,334
1624204763,2021-06-20T15:59:23Z,AUA7EM,"48.92696,15.590756",26850,424,335
1624204764,2021-06-20T15:59:24Z,AUA7EM,"48.927887,15.590163",26875,424,335
1624204765,2021-06-20T15:59:25Z,AUA7EM,"48.929672,15.588896",26900,424,335
1624204766,2021-06-20T15:59:26Z,AUA7EM,"48.931458,15.587698",26925,424,335
1624204767,2021-06-20T15:59:27Z,AUA7EM,"48.934845,15.585444",26950,424,335
1624204772,2021-06-20T15:59:32Z,AUA7EM,"48.942947,15.580022",27075,424,336
1624204773,2021-06-20T15:59:33Z,AUA7EM,"48.944557,15.578975",27100,424,336
1624204774,2021-06-20T15:59:34Z,AUA7EM,"48.946152,15.577839",27125,424,336
1624204776,2021-06-20T15:59:36Z,AUA7EM,"48.949951,15.575374",27175,424,336
1624204839,2021-06-20T16:00:39Z,AUA7EM,"49.064568,15.499035",28450,431,336
1624204902,2021-06-20T16:01:42Z,AUA7EM,"49.179108,15.422551",30225,422,336
1624204962,2021-06-20T16:02:42Z,AUA7EM,"49.286865,15.350154",31575,420,336
1624205024,2021-06-20T16:03:44Z,AUA7EM,"49.395321,15.27714",32875,417,336
1624205088,2021-06-20T16:04:48Z,AUA7EM,"49.510712,15.198935",33400,432,336
1624205151,2021-06-20T16:05:51Z,AUA7EM,"49.627716,15.119284",33850,445,336
1624205217,2021-06-20T16:06:57Z,AUA7EM,"49.75317,15.039838",34850,446,340
1624205278,2021-06-20T16:07:58Z,AUA7EM,"49.871365,14.973771",35575,446,340
1624205341,2021-06-20T16:09:01Z,AUA7EM,"49.993938,14.905181",36450,444,340
1624205402,2021-06-20T16:10:02Z,AUA7EM,"50.110565,14.8327",36700,451,332
1624205416,2021-06-20T16:10:16Z,AUA7EM,"50.135551,14.809941",36775,451,327
1624205422,2021-06-20T16:10:22Z,AUA7EM,"50.145447,14.799668",36800,451,325
1624205483,2021-06-20T16:11:23Z,AUA7EM,"50.250393,14.685529",37150,455,324
1624205546,2021-06-20T16:12:26Z,AUA7EM,"50.358994,14.566498",37675,455,324
1624205608,2021-06-20T16:13:28Z,AUA7EM,"50.466816,14.447541",38000,459,324
1624205671,2021-06-20T16:14:31Z,AUA7EM,"50.575562,14.326822",38000,458,324
1624205732,2021-06-20T16:15:32Z,AUA7EM,"50.681305,14.208885",38000,460,324
1624205795,2021-06-20T16:16:35Z,AUA7EM,"50.789932,14.086923",38000,463,324
1624205856,2021-06-20T16:17:36Z,AUA7EM,"50.895309,13.968077",38000,463,324
1624205917,2021-06-20T16:18:37Z,AUA7EM,"51.002167,13.846741",38000,464,324
1624205977,2021-06-20T16:19:37Z,AUA7EM,"51.107483,13.726452",38000,466,324
1624206039,2021-06-20T16:20:39Z,AUA7EM,"51.214737,13.603301",38000,467,324
1624206102,2021-06-20T16:21:42Z,AUA7EM,"51.325287,13.475473",38000,469,324
1624206165,2021-06-20T16:22:45Z,AUA7EM,"51.435753,13.347092",38025,468,323
1624206226,2021-06-20T16:23:46Z,AUA7EM,"51.541706,13.22319",38000,469,323
1624206290,2021-06-20T16:24:50Z,AUA7EM,"51.655014,13.089905",38000,470,323
1624206352,2021-06-20T16:25:52Z,AUA7EM,"51.763294,12.961807",38000,468,323
1624206415,2021-06-20T16:26:55Z,AUA7EM,"51.871483,12.833023",38000,466,323
1624206476,2021-06-20T16:27:56Z,AUA7EM,"51.977005,12.706604",38000,466,323
1624206537,2021-06-20T16:28:57Z,AUA7EM,"52.082596,12.579188",38000,464,323
1624206598,2021-06-20T16:29:58Z,AUA7EM,"52.187572,12.451982",36900,463,323
1624206660,2021-06-20T16:31:00Z,AUA7EM,"52.292542,12.323532",35425,465,323
1624206722,2021-06-20T16:32:02Z,AUA7EM,"52.39975,12.192078",33475,471,323
1624206786,2021-06-20T16:33:06Z,AUA7EM,"52.510071,12.056046",31025,458,323
1624206851,2021-06-20T16:34:11Z,AUA7EM,"52.617344,11.922521",28975,438,322
1624206916,2021-06-20T16:35:16Z,AUA7EM,"52.721897,11.791548",26625,426,322
1624206979,2021-06-20T16:36:19Z,AUA7EM,"52.818264,11.670384",24350,419,322
1624207033,2021-06-20T16:37:13Z,AUA7EM,"52.90448,11.572037",22350,420,332
1624207039,2021-06-20T16:37:19Z,AUA7EM,"52.914642,11.563416",22150,418,333
1624207042,2021-06-20T16:37:22Z,AUA7EM,"52.919266,11.559448",22050,418,333
1624207106,2021-06-20T16:38:26Z,AUA7EM,"53.029083,11.468506",19875,402,333
