Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1624290479,2021-06-21T15:47:59Z,AUA7EM,"48.117279,16.566679",0,2,14
1624290498,2021-06-21T15:48:18Z,AUA7EM,"48.117073,16.566645",0,2,8
1624290519,2021-06-21T15:48:39Z,AUA7EM,"48.116867,16.566559",0,2,42
1624290534,2021-06-21T15:48:54Z,AUA7EM,"48.116776,16.566353",0,2,87
1624290547,2021-06-21T15:49:07Z,AUA7EM,"48.116787,16.566147",0,1,118
1624290590,2021-06-21T15:49:50Z,AUA7EM,"48.11673,16.566362",0,0,112
1624290697,2021-06-21T15:51:37Z,AUA7EM,"48.116638,16.566628",0,5,115
1624290704,2021-06-21T15:51:44Z,AUA7EM,"48.11657,16.566851",0,7,118
1624290711,2021-06-21T15:51:51Z,AUA7EM,"48.116451,16.567188",0,9,118
1624290717,2021-06-21T15:51:57Z,AUA7EM,"48.116329,16.567554",0,9,118
1624290722,2021-06-21T15:52:02Z,AUA7EM,"48.116238,16.567829",0,10,115
1624290729,2021-06-21T15:52:09Z,AUA7EM,"48.1161,16.568264",0,10,115
1624290735,2021-06-21T15:52:15Z,AUA7EM,"48.115974,16.568651",0,10,118
1624290739,2021-06-21T15:52:19Z,AUA7EM,"48.115833,16.568932",0,10,132
1624290747,2021-06-21T15:52:27Z,AUA7EM,"48.115532,16.56916",0,10,165
1624290752,2021-06-21T15:52:32Z,AUA7EM,"48.115311,16.569134",0,9,188
1624290758,2021-06-21T15:52:38Z,AUA7EM,"48.115067,16.569002",0,9,205
1624290764,2021-06-21T15:52:44Z,AUA7EM,"48.114822,16.568844",0,9,205
1624290771,2021-06-21T15:52:51Z,AUA7EM,"48.114555,16.568636",0,10,205
1624290778,2021-06-21T15:52:58Z,AUA7EM,"48.114281,16.56843",0,11,205
1624290782,2021-06-21T15:53:02Z,AUA7EM,"48.114079,16.568298",0,12,202
1624290787,2021-06-21T15:53:07Z,AUA7EM,"48.113808,16.568245",0,12,180
1624290791,2021-06-21T15:53:11Z,AUA7EM,"48.113602,16.568352",0,12,151
1624290794,2021-06-21T15:53:14Z,AUA7EM,"48.113468,16.568584",0,12,126
1624290797,2021-06-21T15:53:17Z,AUA7EM,"48.113369,16.568827",0,13,118
1624290801,2021-06-21T15:53:21Z,AUA7EM,"48.113285,16.569065",0,13,115
1624290804,2021-06-21T15:53:24Z,AUA7EM,"48.113205,16.56934",0,13,115
1624290807,2021-06-21T15:53:27Z,AUA7EM,"48.113121,16.569584",0,14,115
1624290811,2021-06-21T15:53:31Z,AUA7EM,"48.113007,16.569935",0,14,115
1624290813,2021-06-21T15:53:33Z,AUA7EM,"48.112938,16.570164",0,15,115
1624290820,2021-06-21T15:53:40Z,AUA7EM,"48.112701,16.570885",0,15,115
1624290825,2021-06-21T15:53:45Z,AUA7EM,"48.112564,16.571308",0,16,115
1624290834,2021-06-21T15:53:54Z,AUA7EM,"48.112255,16.572275",0,17,115
1624290840,2021-06-21T15:54:00Z,AUA7EM,"48.112026,16.572979",0,17,115
1624290846,2021-06-21T15:54:06Z,AUA7EM,"48.11182,16.573614",0,18,115
1624290851,2021-06-21T15:54:11Z,AUA7EM,"48.11161,16.574249",0,18,115
1624290857,2021-06-21T15:54:17Z,AUA7EM,"48.111389,16.574953",0,18,115
1624290866,2021-06-21T15:54:26Z,AUA7EM,"48.111076,16.575897",0,15,118
1624290869,2021-06-21T15:54:29Z,AUA7EM,"48.110981,16.576115",0,12,123
1624290874,2021-06-21T15:54:34Z,AUA7EM,"48.110847,16.576344",0,9,137
1624290881,2021-06-21T15:54:41Z,AUA7EM,"48.110573,16.576481",0,6,174
1624290887,2021-06-21T15:54:47Z,AUA7EM,"48.111179,16.575588",0,4,194
1624290921,2021-06-21T15:55:21Z,AUA7EM,"48.109898,16.57608",0,8,205
1624290930,2021-06-21T15:55:30Z,AUA7EM,"48.109566,16.575829",0,9,208
1624290972,2021-06-21T15:56:12Z,AUA7EM,"48.109261,16.574989",0,0,255
1624290993,2021-06-21T15:56:33Z,AUA7EM,"48.109608,16.573896",0,38,295
1624291040,2021-06-21T15:57:20Z,AUA7EM,"48.120895,16.538956",1075,163,295
1624291052,2021-06-21T15:57:32Z,AUA7EM,"48.124771,16.526396",1450,164,288
