Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1624545457,2021-06-24T14:37:37Z,AUA7EM,"48.117382,16.567434",0,0,25
1624548205,2021-06-24T15:23:25Z,AUA7EM,"48.117588,16.567366",0,0,271
1624548329,2021-06-24T15:25:29Z,AUA7EM,"48.117382,16.567366",0,0,180
1624548358,2021-06-24T15:25:58Z,AUA7EM,"48.117592,16.567312",0,0,356
1624548487,2021-06-24T15:28:07Z,AUA7EM,"48.117382,16.567471",0,0,128
1624548562,2021-06-24T15:29:22Z,AUA7EM,"48.117462,16.567263",0,0,316
1624548582,2021-06-24T15:29:42Z,AUA7EM,"48.117668,16.567108",0,0,36
1624548597,2021-06-24T15:29:57Z,AUA7EM,"48.117485,16.567314",0,0,146
1624548858,2021-06-24T15:34:18Z,AUA7EM,"48.117691,16.567142",0,0,321
1624548863,2021-06-24T15:34:23Z,AUA7EM,"48.117416,16.567436",0,0,143
1624549236,2021-06-24T15:40:36Z,AUA7EM,"48.117691,16.567142",0,0,89
1624549276,2021-06-24T15:41:16Z,AUA7EM,"48.117371,16.567469",0,0,180
1624549444,2021-06-24T15:44:04Z,AUA7EM,"48.117313,16.567692",0,0,112
1624549472,2021-06-24T15:44:32Z,AUA7EM,"48.117371,16.567486",0,0,271
1624549799,2021-06-24T15:49:59Z,AUA7EM,"48.11729,16.567717",0,0,125
1624549824,2021-06-24T15:50:24Z,AUA7EM,"48.117325,16.567486",0,0,271
1624549867,2021-06-24T15:51:07Z,AUA7EM,"48.117336,16.567692",0,0,102
1624549906,2021-06-24T15:51:46Z,AUA7EM,"48.117393,16.567488",0,0,271
1624549979,2021-06-24T15:52:59Z,AUA7EM,"48.117325,16.567699",0,0,110
1624550001,2021-06-24T15:53:21Z,AUA7EM,"48.117336,16.567471",0,0,283
1624550043,2021-06-24T15:54:03Z,AUA7EM,"48.117428,16.567259",0,0,271
1624550067,2021-06-24T15:54:27Z,AUA7EM,"48.117348,16.56776",0,0,98
1624550105,2021-06-24T15:55:05Z,AUA7EM,"48.117313,16.567541",0,0,200
1624550121,2021-06-24T15:55:21Z,AUA7EM,"48.117558,16.567577",0,0,39
1624550147,2021-06-24T15:55:47Z,AUA7EM,"48.117279,16.56764",0,0,152
1624550148,2021-06-24T15:55:48Z,AUA7EM,"48.117393,16.567348",0,0,302
1624550169,2021-06-24T15:56:09Z,AUA7EM,"48.117268,16.567577",0,0,171
1624550180,2021-06-24T15:56:20Z,AUA7EM,"48.117336,16.567778",0,0,50
1624550190,2021-06-24T15:56:30Z,AUA7EM,"48.117474,16.567577",0,0,308
1624550216,2021-06-24T15:56:56Z,AUA7EM,"48.117474,16.567863",0,0,69
1624550223,2021-06-24T15:57:03Z,AUA7EM,"48.117588,16.567657",0,0,237
1624550232,2021-06-24T15:57:12Z,AUA7EM,"48.117348,16.567348",0,0,223
1624550247,2021-06-24T15:57:27Z,AUA7EM,"48.117474,16.567858",0,0,71
1624550277,2021-06-24T15:57:57Z,AUA7EM,"48.117359,16.567329",0,0,232
1624550289,2021-06-24T15:58:09Z,AUA7EM,"48.117496,16.567829",0,0,65
1624550308,2021-06-24T15:58:28Z,AUA7EM,"48.117508,16.567623",0,0,271
1624550436,2021-06-24T16:00:36Z,AUA7EM,"48.117428,16.5674",0,0,304
1624550441,2021-06-24T16:00:41Z,AUA7EM,"48.117336,16.567657",0,0,119
1624550444,2021-06-24T16:00:44Z,AUA7EM,"48.117416,16.567451",0,0,305
1624550457,2021-06-24T16:00:57Z,AUA7EM,"48.117302,16.567717",0,0,123
1624550462,2021-06-24T16:01:02Z,AUA7EM,"48.117416,16.5674",0,0,180
1624550465,2021-06-24T16:01:05Z,AUA7EM,"48.117268,16.567787",0,0,119
1624550466,2021-06-24T16:01:06Z,AUA7EM,"48.117416,16.5674",0,0,301
1624550469,2021-06-24T16:01:09Z,AUA7EM,"48.117336,16.56764",0,0,114
1624550522,2021-06-24T16:02:02Z,AUA7EM,"48.117268,16.567863",0,0,110
1624550642,2021-06-24T16:04:02Z,AUA7EM,"48.117416,16.567612",0,0,25
1624550756,2021-06-24T16:05:56Z,AUA7EM,"48.117233,16.5674",0,0,291
1624551004,2021-06-24T16:10:04Z,AUA7EM,"48.117462,16.567486",0,0,338
1624551115,2021-06-24T16:11:55Z,AUA7EM,"48.117241,16.567366",0,3,25
1624551125,2021-06-24T16:12:05Z,AUA7EM,"48.117004,16.567194",0,5,25
